faci_cd,faci_nm,ftype_nm,cp_nm,cpb_nm,faci_road_addr,addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,fmng_dept_nm,faci_stat_nm,faci_mng_type_cd,fmng_type_gb_nm,reg_dt,fmng_cpb_nm,inout_gbn_nm,faci_lat,faci_zip,fmng_cp_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_tel_no,faci_lot,updt_dt,faci_gb_nm,faci_mng_user_telno,atnm_chk_yn,fcob_nm,faci_addr,ssm_dsn_yn,faci_homepage,stand_seat_cnt,faci_gfa,cp_ymd,stand_cpt_psn_cnt
A3DAF6E772A0256457D46D04DB5B0E2E,청계중앙공원 축구장,축구장,경기도,화성시,경기도 화성시 동탄대로시범길 133 (청계동),경기도,N,축구장,12,19990101.0,체육진흥과 체육시설팀,정상운영,자체운영        ,지자체,2021-06-25,화성시,없음,37.1999005245097,18476.0,경기도,청계동,화성시,18476.0,031-355-1292,127.10767573677,2025-05-21,공공,031-5189-6188,N,축구장,"경기도 화성시 청계동 530 동탄중앙어울림센터, 동탄4동 행정복지센터",N,,,,,
1C215C753A125F578C701781EC0591D4,율면체육공원축구장,축구장,경기도,이천시,,경기도,N,,120,19990101.0,시설관리팀,정상운영,자체운영        ,지자체,2021-07-30,이천시,없음,37.079491952475,,경기도,본죽리,이천시,,031-644-4315,127.530815955966,2025-01-08,공공,031-644-4315,N,축구장,경기 이천시 율면 본죽리 30-17,X,,,,,
A7D348C30D6A9D97501BCCAFB2761027,백사면체육공원 축구장,축구장,경기도,이천시,경기도 이천시 백사면 원적로801번길 207,경기도,N,,121,19990101.0,시설관리팀,정상운영,자체운영        ,지자체,2021-07-30,이천시,없음,37.3460913671622,17309.0,경기도,송말리,이천시,17309.0,031-644-4315,127.474778669064,2025-01-07,공공,031-644-4315,N,축구장,경기도 이천시 백사면 송말리 748,X,,,,,
0B0B11FA9C48856315168CB186E776E5,이천스포츠센터 축구장,축구장,경기도,이천시,경기도 이천시 호법면 중부대로798번길 125,경기도,N,,128,19990101.0,시설관리팀,정상운영,자체운영        ,지자체,2021-07-30,이천시,없음,37.2363420612641,17392.0,경기도,안평리,이천시,17392.0,031-644-4315,127.411501932256,2025-01-07,공공,031-644-4315,N,축구장,경기도 이천시 호법면 안평리 787,X,Http//2000sporex.Com,,,,
ADF37641FDD7864F4B99076C69FB518E,마장면체육공원 축구장,축구장,경기도,이천시,경기도 이천시 마장면 서이천로 200,경기도,N,,154,19990101.0,시설관리팀,정상운영,자체운영        ,지자체,2021-07-30,이천시,없음,37.2530140233918,17385.0,경기도,이치리,이천시,17385.0,031-644-4315,127.378877910605,2025-01-07,공공,031-644-4315,N,축구장,경기도 이천시 마장면 이치리 686,X,,,,,
6A0F599A5D708C5C5E574E176BA4CE56,설봉공원 히딩크 드림필드,축구장,경기도,이천시,경기도 이천시 경충대로2709번길 128(관고동),경기도,N,,292,19990101.0,시설관리팀,정상운영,자체운영        ,지자체,2021-07-30,이천시,없음,37.2794571755103,17379.0,경기도,관고동,이천시,17379.0,031-644-4315,127.42755535796,2025-01-07,공공,031-644-4315,N,축구장,경기도 이천시 관고동 356 공원관리사업소,X,,,,,
4C859CA3D26BCD6EB431ADC80BF47ABF,강상체육공원 축구장,축구장,경기도,양평군,,경기도,N,,354,19990101.0,교육체육과,정상운영,자체운영        ,지자체,2021-12-15,양평군,실외,37.4826843394823,,경기도,교평리,양평군,,031-770-3052,127.487354910615,2025-05-13,공공,031-770-2934,N,축구장,경기 양평군 강상면 교평리 327-5,X,,,,,
9E93DD9D6C87AE2A46FBB095D2039977,성주산생활체육공원 축구장,축구장,경기도,부천시,,경기도,N,,408,20060101.0,체육진흥과,정상운영,위탁운영        ,지자체,2021-06-21,부천시,실외,37.4721180061062,,경기도,소사본동,부천시,,070-4489-6224,126.789249779021,2025-05-21,공공,032-625-2501,N,축구장,경기 부천시 소사구 소사본동 187-2,N,,2.0,0.0,20060101.0,100.0
8EFA9F6B486C8A58E20E448E9354EAD3,역곡공원 인조잔디구장,축구장,경기도,부천시,경기도 부천시 지봉로51번길 54 (역곡동),경기도,N,,409,20170101.0,체육진흥과,정상운영,위탁운영        ,지자체,2021-06-21,부천시,실외,37.4879841734207,14663.0,경기도,,부천시,14663.0,032-655-6196,126.802689986313,2025-05-21,공공,032-625-2501,N,축구장,경기도 부천시 역곡동 302-2,N,,2.0,0.0,20170101.0,100.0
C55E245856B792EC8A8F1A844FC09970,송정1교 축구장,축구장,광주광역시,광산구,광주광역시 광산구 극락둑길 8 (황룡동),광주광역시,N,,674,20001101.0,체육진흥과,정상운영,위탁운영        ,지자체,2021-02-08,광산구,실외,35.1252037925799,62451.0,광주광역시,황룡동,광산구,62451.0,062-960-9924,126.783997237529,2024-12-24,공공,062-960-8721,N,축구장,광주광역시 광산구 황룡동 423,N,http://www.gsfmc.or.kr,,12000.0,20001101.0,
6902552F32BD20415D7C5E7C3E64C36A,설성면체육공원 축구장,축구장,경기도,이천시,경기도 이천시 설성면 진상미로665번길 238-28,경기도,N,,683,19990101.0,시설관리팀,정상운영,자체운영        ,지자체,2021-07-30,이천시,없음,37.1301790562944,17412.0,경기도,수산리,이천시,17412.0,031-644-4315,127.506195744024,2025-01-07,공공,031-644-4315,N,축구장,경기도 이천시 설성면 수산리 746-5,X,,,,,
B717673971424DE375387091F6EB0F5B,자월종합운동장,축구장,인천광역시,옹진군,,인천광역시,N,,770,20201231.0,관광문화진흥과,정상운영,자체운영        ,지자체,2020-02-11,옹진군,없음,37.2528095450745,,인천광역시,자월리,옹진군,,032-899-3754,126.317105514084,2025-02-28,공공,032-899-2243,N,축구장,인천 옹진군 자월면 자월리 469-1,X,,,5097.0,20201231.0,
6C1107E0A249B0708388A920D4A86E5B,양평안faci_cd,faci_nm,ftype_nm,cp_nm,cpb_nm,faci_road_addr,addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,fmng_dept_nm,faci_stat_nm,faci_mng_type_cd,fmng_type_gb_nm,reg_dt,fmng_cpb_nm,inout_gbn_nm,faci_lat,faci_zip,fmng_cp_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_tel_no,faci_lot,updt_dt,faci_gb_nm,faci_mng_user_telno,atnm_chk_yn,fcob_nm,faci_addr,ssm_dsn_yn,faci_homepage,stand_seat_cnt,faci_gfa,cp_ymd,stand_cpt_psn_cnt
                                    A3DAF6E772A0256457D46D04DB5B0E2E,청계중앙공원 축구장,축구장,경기도,화성시,경기도 화성시 동탄대로시범길 133 (청계동),경기도,N,축구장,12,19990101.0,체육진흥과 체육시설팀,정상운영,자체운영        ,지자체,2021-06-25,화성시,없음,37.1999005245097,18476.0,경기도,청계동,화성시,18476.0,031-355-1292,127.10767573677,2025-05-21,공공,031-5189-6188,N,축구장,"경기도 화성시 청계동 530 동탄중앙어울림센터, 동탄4동 행정복지센터",N,,,,,
                                    1C215C753A125F578C701781EC0591D4,율면체육공원축구장,축구장,경기도,이천시,,경기도,N,,120,19990101.0,시설관리팀,정상운영,자체운영        ,지자체,2021-07-30,이천시,없음,37.079491952475,,경기도,본죽리,이천시,,031-644-4315,127.530815955966,2025-01-08,공공,031-644-4315,N,축구장,경기 이천시 율면 본죽리 30-17,X,,,,,
                                    A7D348C30D6A9D97501BCCAFB2761027,백사면체육공원 축구장,축구장,경기도,이천시,경기도 이천시 백사면 원적로801번길 207,경기도,N,,121,19990101.0,시설관리팀,정상운영,자체운영        ,지자체,2021-07-30,이천시,없음,37.3460913671622,17309.0,경기도,송말리,이천시,17309.0,031-644-4315,127.474778669064,2025-01-07,공공,031-644-4315,N,축구장,경기도 이천시 백사면 송말리 748,X,,,,,
                                    0B0B11FA9C48856315168CB186E776E5,이천스포츠센터 축구장,축구장,경기도,이천시,경기도 이천시 호법면 중부대로798번길 125,경기도,N,,128,19990101.0,시설관리팀,정상운영,자체운영        ,지자체,2021-07-30,이천시,없음,37.2363420612641,17392.0,경기도,안평리,이천시,17392.0,031-644-4315,127.411501932256,2025-01-07,공공,031-644-4315,N,축구장,경기도 이천시 호법면 안평리 787,X,Http//2000sporex.Com,,,,
                                    ADF37641FDD7864F4B99076C69FB518E,마장면체육공원 축구장,축구장,경기도,이천시,경기도 이천시 마장면 서이천로 200,경기도,N,,154,19990101.0,시설관리팀,정상운영,자체운영        ,지자체,2021-07-30,이천시,없음,37.2530140233918,17385.0,경기도,이치리,이천시,17385.0,031-644-4315,127.378877910605,2025-01-07,공공,031-644-4315,N,축구장,경기도 이천시 마장면 이치리 686,X,,,,,
                                    6A0F599A5D708C5C5E574E176BA4CE56,설봉공원 히딩크 드림필드,축구장,경기도,이천시,경기도 이천시 경충대로2709번길 128(관고동),경기도,N,,292,19990101.0,시설관리팀,정상운영,자체운영        ,지자체,2021-07-30,이천시,없음,37.2794571755103,17379.0,경기도,관고동,이천시,17379.0,031-644-4315,127.42755535796,2025-01-07,공공,031-644-4315,N,축구장,경기도 이천시 관고동 356 공원관리사업소,X,,,,,
                                    4C859CA3D26BCD6EB431ADC80BF47ABF,강상체육공원 축구장,축구장,경기도,양평군,,경기도,N,,354,19990101.0,교육체육과,정상운영,자체운영        ,지자체,2021-12-15,양평군,실외,37.4826843394823,,경기도,교평리,양평군,,031-770-3052,127.487354910615,2025-05-13,공공,031-770-2934,N,축구장,경기 양평군 강상면 교평리 327-5,X,,,,,
                                    9E93DD9D6C87AE2A46FBB095D2039977,성주산생활체육공원 축구장,축구장,경기도,부천시,,경기도,N,,408,20060101.0,체육진흥과,정상운영,위탁운영        ,지자체,2021-06-21,부천시,실외,37.4721180061062,,경기도,소사본동,부천시,,070-4489-6224,126.789249779021,2025-05-21,공공,032-625-2501,N,축구장,경기 부천시 소사구 소사본동 187-2,N,,2.0,0.0,20060101.0,100.0
                                    8EFA9F6B486C8A58E20E448E9354EAD3,역곡공원 인조잔디구장,축구장,경기도,부천시,경기도 부천시 지봉로51번길 54 (역곡동),경기도,N,,409,20170101.0,체육진흥과,정상운영,위탁운영        ,지자체,2021-06-21,부천시,실외,37.4879841734207,14663.0,경기도,,부천시,14663.0,032-655-6196,126.802689986313,2025-05-21,공공,032-625-2501,N,축구장,경기도 부천시 역곡동 302-2,N,,2.0,0.0,20170101.0,100.0
                                    C55E245856B792EC8A8F1A844FC09970,송정1교 축구장,축구장,광주광역시,광산구,광주광역시 광산구 극락둑길 8 (황룡동),광주광역시,N,,674,20001101.0,체육진흥과,정상운영,위탁운영        ,지자체,2021-02-08,광산구,실외,35.1252037925799,62451.0,광주광역시,황룡동,광산구,62451.0,062-960-9924,126.783997237529,2024-12-24,공공,062-960-8721,N,축구장,광주광역시 광산구 황룡동 423,N,http://www.gsfmc.or.kr,,12000.0,20001101.0,
                                    6902552F32BD20415D7C5E7C3E64C36A,설성면체육공원 축구장,축구장,경기도,이천시,경기도 이천시 설성면 진상미로665번길 238-28,경기도,N,,683,19990101.0,시설관리팀,정상운영,자체운영        ,지자체,2021-07-30,이천시,없음,37.1301790562944,17412.0,경기도,수산리,이천시,17412.0,031-644-4315,127.506195744024,2025-01-07,공공,031-644-4315,N,축구장,경기도 이천시 설성면 수산리 746-5,X,,,,,
                                    B717673971424DE375387091F6EB0F5B,자월종합운동장,축구장,인천광역시,옹진군,,인천광역시,N,,770,20201231.0,관광문화진흥과,정상운영,자체운영        ,지자체,2020-02-11,옹진군,없음,37.2528095450745,,인천광역시,자월리,옹진군,,032-899-3754,126.317105514084,2025-02-28,공공,032-899-2243,N,축구장,인천 옹진군 자월면 자월리 469-1,X,,,5097.0,20201231.0,
                                    6C1107E0A249B0708388A920D4A86E5B,양평안보테마공원축구장,축구장,경기도,양평군,,경기도,N,,788,20161231.0,,정상운영,,지자체,2016-12-31,하남시,,,,경기도,,하남시,,,,2024-10-31,공공,,N,축구장,,,,3500.0,,,3500.0
                                    522C2D8FA83035EC843ED9698D17D7D9,안양새물공원 축구장,축구장,경기도,안양시,경기도 안양시 만안구 석천로 1 (박달동),경기도,N,,918,20190731.0,체육생활과,정상운영,위탁운영        ,지자체,2019-07-31,안양시,실외,37.41550881505056,13901.0,경기도,박달동,안양시 만안구,13901.0,,126.89042642832808,2024-12-04,공공,031-8045-2695,N,축구장,경기도 안양시 만안구 박달동 655,N,,,,,
                                    42C392385E1ADDE2C7FEE11743E4204B,(축구장-14) 동면상동체육공원 축구장,축구장,경상남도,양산시,경상남도 양산시 동면 여락송정로 100,경상남도,N,,930,20151201.0,동면,정상운영,자체운영        ,지자체,2020-02-25,양산시,실외,35.306357897037486,50647.0,경상남도,여락리,양산시,50647.0,055-392-7104,129.09023137435045,2024-12-12,공공,055-392-7104,N,축구장,경상남도 양산시 동면 여락리 299 상동체육공원,N,,,10306.0,20151201.0,
                                    88025E472673219249EB897CDB3E4DF3,조남동 간이 축구장,축구장,경기도,시흥시,경기 시흥시 목감동 275-10,경기도,N,,1048,19000101.0,체육진흥과,정상운영,자체운영        ,지자체,2019-06-23,시흥시,실외,37.38466234327579,429821.0,경기도,목감동,시흥시,,031-310-3159,126.86995221574192,2025-04-14,공공,031-310-3159,N,축구장,경기 시흥시 목감동 275-10,N,,,165.0,,
                                    86BCADDF79FD3936509C9B10FCF4162B,미탄체육공원,축구장,강원특별자치도,평창군,강원특별자치도 평창군 미탄면 창리 1068,강원특별자치도,N,,1305,20181221.0,체육진흥,정상운영,자체운영        ,지자체,2019-07-12,평창군,실내외,37.3406708742984,232822.0,강원특별자치도,,평창군,,033-330-2131,128.50396372985855,2024-10-31,공공,033-330-2013,N,축구장,강원특별자치도 평창군 미탄면 창리 1068,N,,500.0,15107.0,20181221.0,500.0
                                    F9DC5B5CB5CE09D65E498854434132A1,가곡유소년축구장,축구장,경상남도,밀양시,경남 밀양시 가곡동 529-2,경상남도,N,,1632,20190101.0,체육시설사업소,정상운영,위탁운영        ,지자체,2020-02-25,밀양시,실외,35.471454269988065,627800.0,경상남도,가곡동,밀양시,,055-359-4640,128.76740640296,2025-05-13,공공,055-359-5448,N,축구장,경남 밀양시 가곡동 529-2,N,,,1920.0,20190101.0,
                                    90D93730F1AFE92CA62230A0F18F6F90,축구장(동학산체육공원(11호)),축구장,경기도,화성시,화성시 석우동 29-3,경기도,N,,1681,20171218.0,,정상운영,위탁운영        ,지자체,2017-12-18,화성시,실외,37.2205569607,,경기도,,화성시,,,127.078630892,2025-05-22,공공,031-369-6273,N,축구장,화성시 석우동 29-3,,https://yeyak.hsuco.or.kr/,,,,
                                    EBD366F8E4D60A41EC7E892DD8A4D5AE,축구장(동학산공원(14호)),축구장,경기도,화성시,화성시 석우동 4,경기도,N,,1682,20171218.0,,정상운영,위탁운영        ,지자체,2017-12-18,화성시,,37.224213079,,경기도,,화성시,,,127.076390171,2025-05-21,공공,031-369-6273,N,축구장,화성시 석우동 4,,https://yeyak.hsuco.or.kr/,,,,
                                    9D66B705683E625AECF3F5617DFBDEA6,축구장(용수교 둔치),축구장,경기도,화성시,화성시 정남면 발산리 15,경기도,N,,1686,20171218.0,,정상운영,위탁운영        ,지자체,2017-12-18,화성시,없음,37.1686823014,,경기도,,화성시,,,126.994645028,2024-10-31,공공,031-369-6273,N,축구장,화성시 정남면 발산리 15,,,,,,
                                    AAB1921B3A63B30E5AF29D7B4B000C07,축구장(매송안보테마공원),축구장,경기도,화성시,화성시 매송면 어천리 222-6,경기도,N,,1690,20171218.0,,정상운영,위탁운영        ,지자체,2017-12-18,화성시,실외,37.2537468321,,경기도,,화성시,,,126.919788103,2025-01-16,공공,031-369-6273,N,축구장,화성시 매송면 어천리 222-6,,https://yeyak.hsuco.or.kr/,,1652.0,,
                                    125B45015A16F99E339C5D63CD787F33,축구장(동탄센트럴파크),축구장,경기도,화성시,화성시 반송동 59 ,경기도,N,,1698,20171218.0,,정상운영,위탁운영        ,지자체,2017-12-18,화성시,없음,37.204011894,,경기도,,화성시,,,127.06360471,2024-10-31,공공,031-369-6273,N,축구장,화성시 반송동 59 ,,,,,,
                                    1F1EDF4A528C4AC787A07D53BA2F9375,축구장(큰재봉공원),축구장,경기도,화성시,화성시 석우동 45,경기도,N,,1709,20171218.0,,정상운영,위탁운영        ,지자체,2017-12-18,화성시,없음,37.2140379111,,경기도,,화성시,,,127.082544741,2024-10-31,공공,031-369-6273,N,축구장,화성시 석우동 45,,,,,,
                                    E266D70E5D94F12BFA62AACDCC085A2F,축구장(마도근린공원),축구장,경기도,화성시,화성시 마도면 쌍송리 673,경기도,N,,1724,20171218.0,,정상운영,위탁운영        ,지자체,2017-12-18,화성시,없음,37.1816843128,,경기도,,화성시,,,126.790075379,2024-10-31,공공,031-369-6273,N,축구장,화성시 마도면 쌍송리 673,,,,,,
                                    E9F4B0669E7F0A8C7C228F1BD3CF82CF,축구장(하길근린공원),축구장,경기도,화성시,화성시 향남읍 하길리 1409-1,경기도,N,,1726,20171218.0,,정상운영,위탁운영        ,지자체,2017-12-18,화성시,없음,37.0892728729,,경기도,,화성시,,,126.91135507,2024-10-31,공공,031-369-6273,N,축구장,화성시 향남읍 하길리 1409-1,,,,,,
                                    06F5A5EB70F57C179E8D86855E224D75,축구장(향남2 화합공원),축구장,경기도,화성시,화성시 향남읍 상신리 1256,경기도,N,,1755,20171218.0,,정상운영,위탁운영        ,지자체,2017-12-18,화성시,없음,,,경기도,,화성시,,,,2024-10-31,공공,031-369-6273,N,축구장,화성시 향남읍 상신리 1256,,,,,,
                                    7BC310EAE2573C08BD4602839272DCEB,축구장(송산체육시설),축구장,경기도,화성시,화성시 송산면 삼존리 124번지 일원,경기도,N,,1857,20171218.0,,정상운영,위탁운영        ,지자체,2017-12-18,화성시,없음,37.2189200487,,경기도,,화성시,,,126.731542414,2024-10-31,공공,031-369-6273,N,축구장,화성시 송산면 삼존리 124번지 일원,,,,,,
                                    180E390FD8889579FD6F0F6ED2232FAA,축구장(쌍봉산근린공원),축구장,경기도,화성시,화성시 우정읍 조암리 산28-2일원,경기도,N,,1902,20171218.0,,정상운영,위탁운영        ,지자체,2017-12-18,화성시,없음,37.0894285569,,경기도,,화성시,,,126.819767451,2024-10-31,공공,031-369-6273,N,축구장,화성시 우정읍 조암리 산28-2일원,,,,,,
                                    D6425E3F5C302D54606EE8E73F47B50A,축구장(비봉인공습지),축구장,경기도,화성시,화성시 비봉면 유포리 인공습지,경기도,N,,2038,20171218.0,,정상운영,위탁운영        ,지자체,2017-12-18,화성시,실외,,,경기도,,화성시,,,,2024-10-31,공공,031-369-6273,N,축구장,화성시 비봉면 유포리 인공습지,,https://yeyak.hsuco.or.kr/,,,,
                                    58FBE9B451116EEA5FB075A0CF65512E,축구장(한화 바이오밸리),축구장,경기도,화성시,화성시 마도면 청원리 1249,경기도,N,,2075,20171218.0,,정상운영,자체운영        ,지자체,2017-12-18,화성시,실외,37.1702808725,,경기도,,화성시,,,126.767087766,2025-01-21,공공,031-369-6273,N,축구장,화성시 마도면 청원리 1249,,,,1652.0,,
                                    78ED23A309847933DC9C3976A20686B9,축구장(다람산근린공원),축구장,경기도,화성시,화성시 진안동 588일원,경기도,N,,2144,20171218.0,,정상운영,위탁운영        ,지자체,2017-12-18,화성시,없음,37.2291320721,,경기도,,화성시,,,127.041702036,2024-10-31,공공,031-369-6273,N,축구장,화성시 진안동 588일원,,,,,,
                                    C71EA55F4260CF640B458E65ACFB71ED,축구장(인곡1저류지),축구장,경기도,화성시,화성시 능동 1106,경기도,N,,2321,20171218.0,,정상운영,위탁운영        ,지자체,2017-12-18,화성시,없음,37.2141299917,,경기도,,화성시,,,127.054131609,2024-10-31,공공,031-369-6273,N,축구장,화성시 능동 1106,,,,,,
                                    4119D4EE6459F31638DFC2103580B117,축구장(장안남산체육공원),축구장,경기도,화성시,화성시 장안면 사랑리 2-4,경기도,N,,2326,20171218.0,,정상운영,위탁운영        ,지자체,2017-12-18,화성시,없음,37.0779556733,,경기도,,화성시,,,126.83426591,2024-10-31,공공,031-369-6273,N,축구장,화성시 장안면 사랑리 2-4,,,,,,
                                    2BCE8E58CEB4FB0978F1C9F8AAA9DD84,축구장(동탄2 3호 체육공원),축구장,경기도,화성시,화성시 동탄면 장지리 산15,경기도,N,,2336,20171218.0,,정상운영,자체운영        ,지자체,2017-12-18,화성시,실외,,,경기도,,화성시,,,,2024-10-31,공공,031-369-6273,N,축구장,화성시 동탄면 장지리 산15,,,,1652.0,,
                                    03BC06A544DB6969D56FBB872113A05B,원미운동장,축구장,경기도,부천시,경기도 부천시 조마루로427번길 26 (원미동),경기도,N,,2349,20180131.0,"체육진흥과
                                    시설관리팀",정상운영,위탁운영        ,지자체,2018-01-31,부천시,실외,37.497489933,14559.0,경기도,,부천시,14559.0,032-340-5370,126.7954142659,2024-10-31,공공,032-625-2502,N,축구장,경기도 부천시 원미동 8-16,N,,2500.0,,,2500.0
                                    EE18F4503BB6C5BC4E99E26D10CCFF95,원미공원 인조잔디구장,축구장,경기도,부천시,경기 부천시 원미동 16,경기도,N,,2350,20180101.0,체육진흥과,정상운영,위탁운영        ,지자체,2018-01-31,부천시,실외,37.49767726670595,,경기도,,부천시,,032-655-6196,126.79537078220442,2025-05-21,공공,032-625-2501,N,축구장,경기 부천시 원미동 16,N,,2.0,5738.0,20180101.0,100.0
                                    4A1D6DDED8E4DFD5352EF6BEA721F15C,축구장(화성호 가축분뇨공공처리시설),축구장,경기도,화성시,화성시 마도면 청원리 공유수면,경기도,N,,2356,20171218.0,,정상운영,위탁운영        ,지자체,2017-12-18,화성시,실외,,,경기도,,화성시,,,,2024-10-31,공공,031-369-6273,N,축구장,화성시 마도면 청원리 공유수면,,,,,,
                                    F610CFEE0FB400B64FF516739CB0BC9A,풋살구장(행복근린공원),축구장,경기도,화성시,화성시 반월동 875,경기도,N,,2462,19990101.0,,정상운영,위탁운영        ,지자체,2017-12-18,화성시,실외,37.2223450414,,경기도,,화성시,,031-355-1292,127.05169922,2025-05-21,공공,031-369-6273,N,축구장,화성시 반월동 875,X,,,1652.0,,
                                    21527952C15907844904930B374401B2,축구장( 1호공원),축구장,경기도,화성시,화성시 서신면 장외리 642,경기도,N,,2470,20171218.0,,정상운영,위탁운영        ,지자체,2017-12-18,화성시,실외,,,경기도,,화성시,,,,2024-10-31,공공,031-369-6273,N,축구장,화성시 서신면 장외리 642,,,,,,
                                    8A993C5707F885B4149BB490414FC956,축구장(무봉체육시설),축구장,경기도,화성시,화성시 동탄면 중리 833-196 일원,경기도,N,,2493,20171218.0,,정상운영,위탁운영        ,지자체,2017-12-18,화성시,실외,,,경기도,,화성시,,,,2024-10-31,공공,031-369-6273,N,축구장,화성시 동탄면 중리 833-196 일원,,,,6611.0,,
                                    11A368CF7EFB7C5C03BAE18F57B59757,백운공원 축구장,축구장,인천광역시,부평구,인천광역시 부평구 경원대로 1339 (부평동),인천광역시,N,186-419,2592,19990101.0,문화체육과,정상운영,자체운영        ,지자체,2020-08-18,부평구,실외,37.5070416849442,21387.0,인천광역시,부평동,,21387.0,032-509-6448,126.721873215516,2024-10-31,공공,032-509-6445,N,축구장,인천광역시 부평구 부평동 70-131 인천 부원중학교,X,,,,,
